PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=63 time=6.58 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=63 time=3.40 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=63 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=63 time=2.99 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=63 time=1.66 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=63 time=1.77 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=63 time=6.43 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=63 time=5.30 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=63 time=3.60 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=63 time=2.74 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=63 time=1.80 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=63 time=2.55 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=63 time=2.70 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=63 time=2.96 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=63 time=2.59 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=63 time=3.05 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=63 time=1.90 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=63 time=2.56 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=63 time=2.46 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=63 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=63 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=63 time=0.990 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=63 time=0.936 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=63 time=1.30 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=63 time=1.07 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=63 time=4.10 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=63 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=63 time=0.911 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=63 time=0.935 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=63 time=1.61 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=63 time=2.08 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=63 time=1.61 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=63 time=1.12 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=63 time=1.47 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=63 time=1.37 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=63 time=2.00 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=63 time=1.52 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=63 time=1.62 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=63 time=1.07 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=63 time=3.18 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=63 time=1.79 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=63 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=63 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=63 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=63 time=1.78 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=63 time=1.33 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=63 time=1.42 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=63 time=1.56 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=63 time=3.94 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=63 time=1.58 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=63 time=0.770 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=63 time=2.30 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=63 time=1.44 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=63 time=5.99 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=63 time=1.05 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=63 time=0.847 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=63 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=63 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=63 time=1.59 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=63 time=1.09 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=63 time=1.05 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=63 time=1.27 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=63 time=3.10 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=63 time=2.60 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=63 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=63 time=1.68 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=63 time=0.810 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=63 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=63 time=1.12 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=63 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=63 time=2.27 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=63 time=1.10 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=63 time=1.64 ms
64 bytes from 10.10.0.10: icmp_seq=74 ttl=63 time=1.18 ms
64 bytes from 10.10.0.10: icmp_seq=75 ttl=63 time=4.13 ms
64 bytes from 10.10.0.10: icmp_seq=76 ttl=63 time=3.54 ms
64 bytes from 10.10.0.10: icmp_seq=77 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=78 ttl=63 time=2.57 ms
64 bytes from 10.10.0.10: icmp_seq=79 ttl=63 time=1.54 ms
64 bytes from 10.10.0.10: icmp_seq=84 ttl=63 time=0.907 ms
64 bytes from 10.10.0.10: icmp_seq=85 ttl=63 time=0.938 ms
64 bytes from 10.10.0.10: icmp_seq=86 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=87 ttl=63 time=0.871 ms
64 bytes from 10.10.0.10: icmp_seq=88 ttl=63 time=1.09 ms
64 bytes from 10.10.0.10: icmp_seq=89 ttl=63 time=0.684 ms
64 bytes from 10.10.0.10: icmp_seq=90 ttl=63 time=0.734 ms
64 bytes from 10.10.0.10: icmp_seq=91 ttl=63 time=1.63 ms
64 bytes from 10.10.0.10: icmp_seq=92 ttl=63 time=0.765 ms
64 bytes from 10.10.0.10: icmp_seq=93 ttl=63 time=8.60 ms
64 bytes from 10.10.0.10: icmp_seq=94 ttl=63 time=1.32 ms
64 bytes from 10.10.0.10: icmp_seq=95 ttl=63 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=96 ttl=63 time=0.781 ms
64 bytes from 10.10.0.10: icmp_seq=97 ttl=63 time=1.51 ms
64 bytes from 10.10.0.10: icmp_seq=98 ttl=63 time=0.802 ms
