PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=63 time=6.66 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=63 time=3.44 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=63 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=63 time=3.10 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=63 time=2.08 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=63 time=2.09 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=63 time=2.38 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=63 time=7.27 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=63 time=2.67 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=63 time=2.48 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=63 time=4.43 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=63 time=4.98 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=63 time=4.46 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=63 time=2.39 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=63 time=3.28 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=63 time=2.20 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=63 time=6.71 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=63 time=2.48 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=63 time=1.67 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=63 time=1.59 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=63 time=1.39 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=63 time=0.951 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=63 time=0.855 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=63 time=1.53 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=63 time=1.70 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=63 time=0.863 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=63 time=1.23 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=63 time=0.987 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=63 time=1.08 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=63 time=1.69 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=63 time=1.10 ms
