PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.81 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.680 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.754 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.520 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.459 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=1.01 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=4.55 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.427 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.490 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.412 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=2.48 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.739 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=7.18 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=0.431 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=2.04 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=1.19 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=1.04 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=7.23 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=0.495 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=1.76 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=1.18 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=0.801 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=1.98 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=1.95 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=0.863 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=0.444 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.796 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=0.840 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=0.962 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=0.693 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=0.555 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=0.974 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=1.50 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=1.88 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=1.12 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=2.34 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=0.852 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=0.530 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=0.498 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=2.06 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=3.05 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.872 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=0.989 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=1.33 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=1.35 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=0.862 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=0.505 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=7.81 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=0.980 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=0.803 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=0.644 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.979 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=1.21 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=2.91 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=2.40 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=0.846 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=0.967 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=2.04 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=64 time=2.21 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=64 time=0.941 ms
64 bytes from 10.10.0.10: icmp_seq=76 ttl=63 time=6.89 ms
64 bytes from 10.10.0.10: icmp_seq=77 ttl=63 time=3.44 ms
64 bytes from 10.10.0.10: icmp_seq=78 ttl=63 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=79 ttl=63 time=2.59 ms
64 bytes from 10.10.0.10: icmp_seq=80 ttl=63 time=1.83 ms
64 bytes from 10.10.0.10: icmp_seq=81 ttl=63 time=1.82 ms
64 bytes from 10.10.0.10: icmp_seq=82 ttl=63 time=1.48 ms
64 bytes from 10.10.0.10: icmp_seq=83 ttl=63 time=2.27 ms
64 bytes from 10.10.0.10: icmp_seq=84 ttl=63 time=1.81 ms
64 bytes from 10.10.0.10: icmp_seq=85 ttl=63 time=1.54 ms
64 bytes from 10.10.0.10: icmp_seq=86 ttl=63 time=1.54 ms
64 bytes from 10.10.0.10: icmp_seq=87 ttl=63 time=1.60 ms
64 bytes from 10.10.0.10: icmp_seq=88 ttl=63 time=9.36 ms
64 bytes from 10.10.0.10: icmp_seq=89 ttl=63 time=2.15 ms
64 bytes from 10.10.0.10: icmp_seq=90 ttl=63 time=2.21 ms
64 bytes from 10.10.0.10: icmp_seq=91 ttl=63 time=1.95 ms
64 bytes from 10.10.0.10: icmp_seq=92 ttl=63 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=93 ttl=63 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=94 ttl=63 time=1.89 ms
64 bytes from 10.10.0.10: icmp_seq=95 ttl=63 time=2.09 ms
64 bytes from 10.10.0.10: icmp_seq=96 ttl=63 time=1.93 ms
64 bytes from 10.10.0.10: icmp_seq=97 ttl=63 time=6.30 ms
64 bytes from 10.10.0.10: icmp_seq=98 ttl=63 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=99 ttl=63 time=1.55 ms
64 bytes from 10.10.0.10: icmp_seq=100 ttl=63 time=1.65 ms
64 bytes from 10.10.0.10: icmp_seq=101 ttl=63 time=1.64 ms
64 bytes from 10.10.0.10: icmp_seq=102 ttl=63 time=1.87 ms
64 bytes from 10.10.0.10: icmp_seq=103 ttl=63 time=2.76 ms
64 bytes from 10.10.0.10: icmp_seq=104 ttl=63 time=1.56 ms
64 bytes from 10.10.0.10: icmp_seq=105 ttl=63 time=1.46 ms
64 bytes from 10.10.0.10: icmp_seq=106 ttl=63 time=5.04 ms
64 bytes from 10.10.0.10: icmp_seq=107 ttl=63 time=1.83 ms
64 bytes from 10.10.0.10: icmp_seq=108 ttl=63 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=109 ttl=63 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=110 ttl=63 time=1.68 ms
64 bytes from 10.10.0.10: icmp_seq=111 ttl=63 time=2.03 ms
64 bytes from 10.10.0.10: icmp_seq=112 ttl=63 time=2.00 ms
64 bytes from 10.10.0.10: icmp_seq=113 ttl=63 time=2.56 ms
64 bytes from 10.10.0.10: icmp_seq=114 ttl=63 time=1.99 ms
64 bytes from 10.10.0.10: icmp_seq=115 ttl=63 time=6.03 ms
64 bytes from 10.10.0.10: icmp_seq=116 ttl=63 time=1.71 ms
64 bytes from 10.10.0.10: icmp_seq=117 ttl=63 time=2.15 ms
64 bytes from 10.10.0.10: icmp_seq=118 ttl=63 time=2.15 ms
64 bytes from 10.10.0.10: icmp_seq=119 ttl=63 time=2.25 ms
64 bytes from 10.10.0.10: icmp_seq=120 ttl=63 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=121 ttl=63 time=1.50 ms
64 bytes from 10.10.0.10: icmp_seq=122 ttl=63 time=1.43 ms
64 bytes from 10.10.0.10: icmp_seq=123 ttl=63 time=1.90 ms
64 bytes from 10.10.0.10: icmp_seq=124 ttl=63 time=2.22 ms
64 bytes from 10.10.0.10: icmp_seq=125 ttl=63 time=1.11 ms
64 bytes from 10.10.0.10: icmp_seq=126 ttl=63 time=0.938 ms
64 bytes from 10.10.0.10: icmp_seq=127 ttl=63 time=1.78 ms
64 bytes from 10.10.0.10: icmp_seq=128 ttl=63 time=1.07 ms
64 bytes from 10.10.0.10: icmp_seq=129 ttl=63 time=1.85 ms
64 bytes from 10.10.0.10: icmp_seq=130 ttl=63 time=2.79 ms
64 bytes from 10.10.0.10: icmp_seq=131 ttl=63 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=141 ttl=62 time=3.89 ms
64 bytes from 10.10.0.10: icmp_seq=142 ttl=62 time=1.79 ms
64 bytes from 10.10.0.10: icmp_seq=143 ttl=62 time=3.39 ms
64 bytes from 10.10.0.10: icmp_seq=144 ttl=62 time=1.91 ms
64 bytes from 10.10.0.10: icmp_seq=145 ttl=62 time=3.05 ms
64 bytes from 10.10.0.10: icmp_seq=146 ttl=62 time=6.64 ms
64 bytes from 10.10.0.10: icmp_seq=147 ttl=62 time=2.03 ms
64 bytes from 10.10.0.10: icmp_seq=148 ttl=62 time=3.49 ms
64 bytes from 10.10.0.10: icmp_seq=149 ttl=62 time=2.30 ms
64 bytes from 10.10.0.10: icmp_seq=150 ttl=62 time=1.40 ms
64 bytes from 10.10.0.10: icmp_seq=151 ttl=62 time=2.63 ms
64 bytes from 10.10.0.10: icmp_seq=152 ttl=62 time=3.27 ms
64 bytes from 10.10.0.10: icmp_seq=153 ttl=62 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=154 ttl=62 time=2.83 ms
64 bytes from 10.10.0.10: icmp_seq=155 ttl=62 time=3.00 ms
64 bytes from 10.10.0.10: icmp_seq=156 ttl=62 time=1.59 ms
64 bytes from 10.10.0.10: icmp_seq=157 ttl=62 time=1.94 ms
64 bytes from 10.10.0.10: icmp_seq=158 ttl=62 time=3.07 ms
64 bytes from 10.10.0.10: icmp_seq=159 ttl=62 time=1.76 ms
64 bytes from 10.10.0.10: icmp_seq=160 ttl=62 time=3.43 ms
64 bytes from 10.10.0.10: icmp_seq=161 ttl=62 time=2.76 ms
64 bytes from 10.10.0.10: icmp_seq=162 ttl=62 time=1.91 ms
64 bytes from 10.10.0.10: icmp_seq=163 ttl=62 time=2.20 ms
64 bytes from 10.10.0.10: icmp_seq=164 ttl=62 time=3.72 ms
64 bytes from 10.10.0.10: icmp_seq=165 ttl=62 time=2.89 ms
64 bytes from 10.10.0.10: icmp_seq=166 ttl=62 time=2.11 ms
64 bytes from 10.10.0.10: icmp_seq=167 ttl=62 time=2.89 ms
64 bytes from 10.10.0.10: icmp_seq=168 ttl=62 time=1.80 ms
64 bytes from 10.10.0.10: icmp_seq=169 ttl=62 time=10.0 ms
64 bytes from 10.10.0.10: icmp_seq=170 ttl=62 time=4.30 ms
64 bytes from 10.10.0.10: icmp_seq=171 ttl=62 time=3.22 ms
64 bytes from 10.10.0.10: icmp_seq=172 ttl=62 time=1.87 ms
64 bytes from 10.10.0.10: icmp_seq=173 ttl=62 time=1.66 ms
64 bytes from 10.10.0.10: icmp_seq=174 ttl=62 time=1.50 ms
64 bytes from 10.10.0.10: icmp_seq=175 ttl=62 time=2.09 ms
64 bytes from 10.10.0.10: icmp_seq=176 ttl=62 time=3.79 ms
64 bytes from 10.10.0.10: icmp_seq=177 ttl=62 time=4.52 ms
64 bytes from 10.10.0.10: icmp_seq=178 ttl=62 time=9.01 ms
64 bytes from 10.10.0.10: icmp_seq=179 ttl=62 time=2.37 ms
64 bytes from 10.10.0.10: icmp_seq=180 ttl=62 time=2.40 ms
64 bytes from 10.10.0.10: icmp_seq=181 ttl=62 time=1.55 ms
64 bytes from 10.10.0.10: icmp_seq=182 ttl=62 time=2.71 ms
64 bytes from 10.10.0.10: icmp_seq=183 ttl=62 time=1.93 ms
64 bytes from 10.10.0.10: icmp_seq=184 ttl=62 time=3.17 ms
64 bytes from 10.10.0.10: icmp_seq=185 ttl=62 time=2.10 ms
64 bytes from 10.10.0.10: icmp_seq=186 ttl=62 time=2.25 ms
64 bytes from 10.10.0.10: icmp_seq=187 ttl=62 time=7.61 ms
64 bytes from 10.10.0.10: icmp_seq=188 ttl=62 time=2.45 ms
64 bytes from 10.10.0.10: icmp_seq=189 ttl=62 time=1.47 ms
64 bytes from 10.10.0.10: icmp_seq=190 ttl=62 time=2.64 ms
64 bytes from 10.10.0.10: icmp_seq=202 ttl=61 time=5.00 ms
64 bytes from 10.10.0.10: icmp_seq=203 ttl=61 time=8.70 ms
64 bytes from 10.10.0.10: icmp_seq=204 ttl=61 time=3.07 ms
64 bytes from 10.10.0.10: icmp_seq=205 ttl=61 time=3.29 ms
64 bytes from 10.10.0.10: icmp_seq=206 ttl=61 time=2.76 ms
64 bytes from 10.10.0.10: icmp_seq=207 ttl=61 time=3.02 ms
64 bytes from 10.10.0.10: icmp_seq=208 ttl=61 time=4.15 ms
64 bytes from 10.10.0.10: icmp_seq=209 ttl=61 time=4.35 ms
64 bytes from 10.10.0.10: icmp_seq=210 ttl=61 time=4.42 ms
