PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=62 time=9.72 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=62 time=5.16 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=63 time=12.7 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=62 time=3.86 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=62 time=2.43 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=62 time=2.64 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=62 time=2.38 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=63 time=1.70 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=63 time=2.58 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=63 time=1.92 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=63 time=1.65 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=62 time=9.02 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=62 time=1.34 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=62 time=1.86 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=62 time=2.34 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=62 time=2.15 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=62 time=2.12 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=62 time=2.29 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=62 time=2.07 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=63 time=1.47 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=63 time=2.50 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=63 time=1.91 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=63 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=63 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=63 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=63 time=0.784 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=63 time=5.10 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=63 time=1.06 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=63 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=63 time=0.951 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=63 time=0.952 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=63 time=1.58 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=63 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=63 time=1.14 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=63 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=63 time=1.70 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=63 time=1.37 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=63 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=63 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=63 time=1.13 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=63 time=1.60 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=63 time=1.33 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=63 time=0.848 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=63 time=1.49 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=63 time=1.51 ms
