PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.31 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.72 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.531 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=0.557 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.885 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=63 time=3.91 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=63 time=3.43 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=2.28 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.565 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.788 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.496 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.593 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=0.491 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=0.899 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=0.836 ms
64 bytes from 10.10.0.10: icmp_seq=16 ttl=64 time=0.850 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=0.471 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=0.486 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=0.648 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=0.805 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=0.797 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=0.778 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=0.554 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=0.487 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=0.434 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=4.34 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=2.16 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=2.68 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=0.930 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=2.71 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=0.433 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=0.787 ms
