PING 10.10.0.10 (10.10.0.10) 56(84) bytes of data.
64 bytes from 10.10.0.10: icmp_seq=1 ttl=64 time=3.38 ms
64 bytes from 10.10.0.10: icmp_seq=2 ttl=64 time=1.76 ms
64 bytes from 10.10.0.10: icmp_seq=3 ttl=64 time=0.609 ms
64 bytes from 10.10.0.10: icmp_seq=4 ttl=64 time=1.95 ms
64 bytes from 10.10.0.10: icmp_seq=5 ttl=64 time=0.940 ms
64 bytes from 10.10.0.10: icmp_seq=6 ttl=64 time=0.493 ms
64 bytes from 10.10.0.10: icmp_seq=7 ttl=64 time=0.867 ms
64 bytes from 10.10.0.10: icmp_seq=8 ttl=64 time=0.822 ms
64 bytes from 10.10.0.10: icmp_seq=9 ttl=64 time=0.544 ms
64 bytes from 10.10.0.10: icmp_seq=10 ttl=64 time=0.542 ms
64 bytes from 10.10.0.10: icmp_seq=11 ttl=64 time=0.447 ms
64 bytes from 10.10.0.10: icmp_seq=12 ttl=64 time=0.749 ms
64 bytes from 10.10.0.10: icmp_seq=13 ttl=64 time=0.621 ms
64 bytes from 10.10.0.10: icmp_seq=14 ttl=64 time=0.476 ms
64 bytes from 10.10.0.10: icmp_seq=15 ttl=64 time=2.65 ms
64 bytes from 10.10.0.10: icmp_seq=17 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=18 ttl=64 time=1.16 ms
64 bytes from 10.10.0.10: icmp_seq=19 ttl=64 time=0.942 ms
64 bytes from 10.10.0.10: icmp_seq=20 ttl=64 time=1.31 ms
64 bytes from 10.10.0.10: icmp_seq=21 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=22 ttl=64 time=7.71 ms
64 bytes from 10.10.0.10: icmp_seq=23 ttl=64 time=1.27 ms
64 bytes from 10.10.0.10: icmp_seq=24 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=25 ttl=64 time=0.488 ms
64 bytes from 10.10.0.10: icmp_seq=26 ttl=64 time=3.04 ms
64 bytes from 10.10.0.10: icmp_seq=27 ttl=64 time=7.39 ms
64 bytes from 10.10.0.10: icmp_seq=28 ttl=64 time=0.915 ms
64 bytes from 10.10.0.10: icmp_seq=29 ttl=64 time=0.979 ms
64 bytes from 10.10.0.10: icmp_seq=30 ttl=64 time=1.27 ms
64 bytes from 10.10.0.10: icmp_seq=31 ttl=64 time=1.33 ms
64 bytes from 10.10.0.10: icmp_seq=32 ttl=64 time=1.26 ms
64 bytes from 10.10.0.10: icmp_seq=33 ttl=64 time=0.975 ms
64 bytes from 10.10.0.10: icmp_seq=34 ttl=64 time=0.940 ms
64 bytes from 10.10.0.10: icmp_seq=35 ttl=64 time=0.928 ms
64 bytes from 10.10.0.10: icmp_seq=36 ttl=64 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=37 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=38 ttl=64 time=1.24 ms
64 bytes from 10.10.0.10: icmp_seq=39 ttl=64 time=0.836 ms
64 bytes from 10.10.0.10: icmp_seq=40 ttl=64 time=0.929 ms
64 bytes from 10.10.0.10: icmp_seq=41 ttl=64 time=1.36 ms
64 bytes from 10.10.0.10: icmp_seq=42 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=43 ttl=64 time=0.810 ms
64 bytes from 10.10.0.10: icmp_seq=44 ttl=64 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=45 ttl=64 time=1.38 ms
64 bytes from 10.10.0.10: icmp_seq=46 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=47 ttl=64 time=1.88 ms
64 bytes from 10.10.0.10: icmp_seq=48 ttl=64 time=1.30 ms
64 bytes from 10.10.0.10: icmp_seq=49 ttl=64 time=3.36 ms
64 bytes from 10.10.0.10: icmp_seq=50 ttl=64 time=1.02 ms
64 bytes from 10.10.0.10: icmp_seq=51 ttl=64 time=0.813 ms
64 bytes from 10.10.0.10: icmp_seq=52 ttl=64 time=0.979 ms
64 bytes from 10.10.0.10: icmp_seq=53 ttl=64 time=1.20 ms
64 bytes from 10.10.0.10: icmp_seq=54 ttl=64 time=1.17 ms
64 bytes from 10.10.0.10: icmp_seq=55 ttl=64 time=1.10 ms
64 bytes from 10.10.0.10: icmp_seq=56 ttl=64 time=1.00 ms
64 bytes from 10.10.0.10: icmp_seq=57 ttl=64 time=0.991 ms
64 bytes from 10.10.0.10: icmp_seq=58 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=59 ttl=64 time=5.86 ms
64 bytes from 10.10.0.10: icmp_seq=60 ttl=64 time=2.80 ms
64 bytes from 10.10.0.10: icmp_seq=61 ttl=64 time=2.86 ms
64 bytes from 10.10.0.10: icmp_seq=62 ttl=64 time=0.914 ms
64 bytes from 10.10.0.10: icmp_seq=63 ttl=64 time=0.931 ms
64 bytes from 10.10.0.10: icmp_seq=64 ttl=64 time=1.22 ms
64 bytes from 10.10.0.10: icmp_seq=65 ttl=64 time=1.28 ms
64 bytes from 10.10.0.10: icmp_seq=66 ttl=64 time=1.12 ms
64 bytes from 10.10.0.10: icmp_seq=67 ttl=64 time=0.869 ms
64 bytes from 10.10.0.10: icmp_seq=68 ttl=64 time=1.03 ms
64 bytes from 10.10.0.10: icmp_seq=69 ttl=64 time=0.878 ms
64 bytes from 10.10.0.10: icmp_seq=70 ttl=64 time=1.01 ms
64 bytes from 10.10.0.10: icmp_seq=71 ttl=64 time=1.32 ms
64 bytes from 10.10.0.10: icmp_seq=72 ttl=64 time=1.25 ms
64 bytes from 10.10.0.10: icmp_seq=73 ttl=64 time=0.881 ms
64 bytes from 10.10.0.10: icmp_seq=79 ttl=62 time=9.46 ms
64 bytes from 10.10.0.10: icmp_seq=80 ttl=62 time=5.08 ms
64 bytes from 10.10.0.10: icmp_seq=81 ttl=62 time=3.35 ms
64 bytes from 10.10.0.10: icmp_seq=82 ttl=62 time=3.17 ms
64 bytes from 10.10.0.10: icmp_seq=83 ttl=62 time=3.77 ms
64 bytes from 10.10.0.10: icmp_seq=84 ttl=62 time=2.03 ms
64 bytes from 10.10.0.10: icmp_seq=85 ttl=62 time=4.60 ms
64 bytes from 10.10.0.10: icmp_seq=86 ttl=62 time=10.3 ms
64 bytes from 10.10.0.10: icmp_seq=87 ttl=62 time=2.43 ms
64 bytes from 10.10.0.10: icmp_seq=88 ttl=62 time=2.73 ms
64 bytes from 10.10.0.10: icmp_seq=89 ttl=62 time=2.46 ms
64 bytes from 10.10.0.10: icmp_seq=90 ttl=62 time=2.88 ms
64 bytes from 10.10.0.10: icmp_seq=91 ttl=62 time=2.96 ms
64 bytes from 10.10.0.10: icmp_seq=92 ttl=62 time=3.81 ms
64 bytes from 10.10.0.10: icmp_seq=93 ttl=62 time=2.55 ms
64 bytes from 10.10.0.10: icmp_seq=94 ttl=62 time=2.72 ms
64 bytes from 10.10.0.10: icmp_seq=95 ttl=62 time=10.2 ms
64 bytes from 10.10.0.10: icmp_seq=96 ttl=62 time=2.88 ms
64 bytes from 10.10.0.10: icmp_seq=97 ttl=62 time=2.48 ms
64 bytes from 10.10.0.10: icmp_seq=98 ttl=62 time=2.36 ms
64 bytes from 10.10.0.10: icmp_seq=99 ttl=62 time=2.53 ms
64 bytes from 10.10.0.10: icmp_seq=100 ttl=62 time=2.00 ms
64 bytes from 10.10.0.10: icmp_seq=101 ttl=62 time=2.70 ms
64 bytes from 10.10.0.10: icmp_seq=102 ttl=62 time=2.57 ms
64 bytes from 10.10.0.10: icmp_seq=103 ttl=62 time=3.26 ms
64 bytes from 10.10.0.10: icmp_seq=104 ttl=62 time=9.35 ms
64 bytes from 10.10.0.10: icmp_seq=105 ttl=62 time=3.61 ms
64 bytes from 10.10.0.10: icmp_seq=106 ttl=62 time=2.23 ms
64 bytes from 10.10.0.10: icmp_seq=107 ttl=62 time=3.43 ms
64 bytes from 10.10.0.10: icmp_seq=108 ttl=62 time=3.71 ms
64 bytes from 10.10.0.10: icmp_seq=109 ttl=62 time=2.62 ms
64 bytes from 10.10.0.10: icmp_seq=110 ttl=62 time=2.36 ms
64 bytes from 10.10.0.10: icmp_seq=111 ttl=62 time=2.54 ms
64 bytes from 10.10.0.10: icmp_seq=112 ttl=62 time=2.09 ms
64 bytes from 10.10.0.10: icmp_seq=113 ttl=62 time=10.9 ms
64 bytes from 10.10.0.10: icmp_seq=114 ttl=62 time=2.53 ms
64 bytes from 10.10.0.10: icmp_seq=115 ttl=62 time=3.17 ms
64 bytes from 10.10.0.10: icmp_seq=116 ttl=62 time=2.53 ms
64 bytes from 10.10.0.10: icmp_seq=117 ttl=62 time=3.51 ms
64 bytes from 10.10.0.10: icmp_seq=118 ttl=62 time=3.63 ms
64 bytes from 10.10.0.10: icmp_seq=119 ttl=62 time=2.82 ms
64 bytes from 10.10.0.10: icmp_seq=120 ttl=62 time=3.47 ms
64 bytes from 10.10.0.10: icmp_seq=121 ttl=62 time=2.89 ms
64 bytes from 10.10.0.10: icmp_seq=122 ttl=62 time=8.60 ms
64 bytes from 10.10.0.10: icmp_seq=123 ttl=62 time=1.74 ms
64 bytes from 10.10.0.10: icmp_seq=124 ttl=62 time=3.42 ms
64 bytes from 10.10.0.10: icmp_seq=125 ttl=62 time=2.41 ms
64 bytes from 10.10.0.10: icmp_seq=126 ttl=62 time=4.26 ms
64 bytes from 10.10.0.10: icmp_seq=127 ttl=62 time=2.72 ms
64 bytes from 10.10.0.10: icmp_seq=128 ttl=62 time=3.25 ms
64 bytes from 10.10.0.10: icmp_seq=129 ttl=62 time=2.75 ms
64 bytes from 10.10.0.10: icmp_seq=130 ttl=62 time=2.65 ms
64 bytes from 10.10.0.10: icmp_seq=131 ttl=62 time=6.96 ms
64 bytes from 10.10.0.10: icmp_seq=132 ttl=62 time=4.92 ms
64 bytes from 10.10.0.10: icmp_seq=133 ttl=62 time=2.42 ms
64 bytes from 10.10.0.10: icmp_seq=139 ttl=62 time=15.3 ms
64 bytes from 10.10.0.10: icmp_seq=140 ttl=62 time=5.47 ms
64 bytes from 10.10.0.10: icmp_seq=141 ttl=62 time=6.51 ms
64 bytes from 10.10.0.10: icmp_seq=142 ttl=62 time=3.48 ms
